Metadata_guide_identity,mean_ap,p_value,n_pos_pairs,n_total_pairs
ALDOA_ALDOA_+_30077139.23-P1P2_00,0.05600420475348453,0.29268816,114.0,2550.0
ALDOA_ALDOA_+_30077139.23-P1P2_06,0.07447776261665921,0.25238118,155.0,2591.0
ALDOA_ALDOA_+_30077139.23-P1P2_07,0.05001704689005369,0.36501592,102.0,2538.0
ALDOA_ALDOA_+_30077139.23-P1P2_13,0.06841859994129947,0.47477075,169.0,2605.0
ALDOA_ALDOA_+_30077139.23-P1P2_14,0.03562195307490305,0.4300632,80.0,2516.0
ATP5E_ATP5E_-_57607036.23-P1P2_00,0.10939798294721799,0.30098295,213.0,2649.0
ATP5E_ATP5E_-_57607036.23-P1P2_01,0.08066452799084826,0.32553852,172.0,2608.0
ATP5E_ATP5E_-_57607036.23-P1P2_04,0.06732635182559989,0.43459255,163.0,2599.0
ATP5E_ATP5E_-_57607036.23-P1P2_14,0.04782866483428174,0.46308175,113.0,2549.0
ATP5E_ATP5E_-_57607036.23-P1P2_16,0.08286000564628065,0.29129243,166.0,2602.0
BCR_BCR_+_23523092.23-P1P2_00,0.6349755916186649,0.12953672,150.0,2586.0
BCR_BCR_+_23523092.23-P1P2_04,0.47374117628074003,0.17835093,95.0,2531.0
BCR_BCR_+_23523092.23-P1P2_05,0.16629869467305045,0.3337346,252.0,2688.0
BCR_BCR_+_23523092.23-P1P2_07,0.6319373586863961,0.14779761,128.0,2564.0
BCR_BCR_+_23523092.23-P1P2_13,0.055635517055941684,0.31684455,100.0,2536.0
BCR_BCR_+_23523092.23-P1P2_15,0.07890019276793138,0.28015757,138.0,2574.0
CAD_CAD_+_27440280.23-P1P2_00,0.4650179921992527,0.07006062,141.0,2577.0
CAD_CAD_+_27440280.23-P1P2_03,0.4905554946259519,0.07087924,116.0,2552.0
CAD_CAD_+_27440280.23-P1P2_06,0.1666731400174543,0.22683577,129.0,2565.0
CAD_CAD_+_27440280.23-P1P2_07,0.3502932918903748,0.12032216,230.0,2666.0
CAD_CAD_+_27440280.23-P1P2_13,0.12298769133167722,0.3209073,253.0,2689.0
CDC23_CDC23_-_137548987.23-P1P2_00,0.07890222089445827,0.333022,122.0,2558.0
CDC23_CDC23_-_137548987.23-P1P2_02,0.08432223654791716,0.32670638,86.0,2522.0
CDC23_CDC23_-_137548987.23-P1P2_04,0.08076028742914845,0.37849426,142.0,2578.0
CDC23_CDC23_-_137548987.23-P1P2_08,0.09607770535495763,0.34748745,152.0,2588.0
CDC23_CDC23_-_137548987.23-P1P2_11,0.11967062858437492,0.49168146,322.0,2758.0
COX11_COX11_+_53045977.23-P1P2_00,0.0890996080747153,0.30316585,211.0,2647.0
COX11_COX11_+_53045977.23-P1P2_03,0.12398227607614691,0.27981764,308.0,2744.0
COX11_COX11_+_53045977.23-P1P2_04,0.06673050036189329,0.32507262,155.0,2591.0
COX11_COX11_+_53045977.23-P1P2_05,0.06080140137323134,0.37126705,142.0,2578.0
COX11_COX11_+_53045977.23-P1P2_10,0.050159247388390726,0.34257555,111.0,2547.0
DBR1_DBR1_+_137893744.23-P1P2_00,0.16209970626477124,0.17384957,362.0,2798.0
DBR1_DBR1_+_137893744.23-P1P2_01,0.08907276704774005,0.2552637,194.0,2630.0
DBR1_DBR1_+_137893744.23-P1P2_05,0.07586014853209805,0.38818753,181.0,2617.0
DBR1_DBR1_+_137893744.23-P1P2_07,0.11920805998196916,0.19031623,240.0,2676.0
DBR1_DBR1_+_137893744.23-P1P2_08,0.05279710587591894,0.44106224,125.0,2561.0
DUT_DUT_+_48624411.23-P1P2_00,0.14916942953134615,0.21594483,252.0,2688.0
DUT_DUT_+_48624411.23-P1P2_01,0.22963284853302784,0.24618442,451.0,2887.0
DUT_DUT_+_48624411.23-P1P2_07,0.07849543965316591,0.20667802,75.0,2511.0
DUT_DUT_+_48624411.23-P1P2_08,0.17295812625033866,0.231987,313.0,2749.0
DUT_DUT_+_48624411.23-P1P2_10,0.06638216332441349,0.35952756,147.0,2583.0
EIF2S1_EIF2S1_-_67827080.23-P1P2_00,0.6252308853055428,0.1330565,105.0,2541.0
EIF2S1_EIF2S1_-_67827080.23-P1P2_01,0.29534265108575697,0.25168526,123.0,2559.0
EIF2S1_EIF2S1_-_67827080.23-P1P2_02,0.5709436000180991,0.15664011,146.0,2582.0
EIF2S1_EIF2S1_-_67827080.23-P1P2_06,0.5533133832776467,0.06976494,88.0,2524.0
EIF2S1_EIF2S1_-_67827080.23-P1P2_07,0.05993675763099775,0.46923617,147.0,2583.0
GATA1_GATA1_-_48645022.23-P1P2_00,0.6573831020131031,0.07351587,55.0,2491.0
GATA1_GATA1_-_48645022.23-P1P2_03,0.7784846411738395,0.07347867,142.0,2578.0
GATA1_GATA1_-_48645022.23-P1P2_04,0.7125309373539724,0.0694892,51.0,2487.0
GATA1_GATA1_-_48645022.23-P1P2_06,0.32047695424165745,0.2481109,139.0,2575.0
GATA1_GATA1_-_48645022.23-P1P2_08,0.6309905997120532,0.09513987,78.0,2514.0
GATA1_GATA1_-_48645022.23-P1P2_12,0.04745640668119225,0.37045923,106.0,2542.0
GINS1_GINS1_-_25388381.23-P1P2_00,0.07684912595630627,0.22116329,47.0,2483.0
GINS1_GINS1_-_25388381.23-P1P2_03,0.1575041697505018,0.21821038,176.0,2612.0
GINS1_GINS1_-_25388381.23-P1P2_06,0.2555397619554375,0.15828872,219.0,2655.0
GINS1_GINS1_-_25388381.23-P1P2_08,0.3014309407744952,0.15664205,323.0,2759.0
GINS1_GINS1_-_25388381.23-P1P2_14,0.06277370488018652,0.40000045,130.0,2566.0
GNB2L1_GNB2L1_+_180670873.23-P1P2_00,0.10242108653884784,0.041789938,33.0,2469.0
GNB2L1_GNB2L1_+_180670873.23-P1P2_02,0.058413161677480056,0.2254341,112.0,2548.0
GNB2L1_GNB2L1_+_180670873.23-P1P2_07,0.10402684761517651,0.12948006,142.0,2578.0
GNB2L1_GNB2L1_+_180670873.23-P1P2_08,0.4066433834256504,0.07397069,583.0,3019.0
GNB2L1_GNB2L1_+_180670873.23-P1P2_13,0.09740031516810414,0.16228074,131.0,2567.0
HSPA5_HSPA5_+_128003624.23-P1P2_00,0.4534300991060531,0.16788322,92.0,2528.0
HSPA5_HSPA5_+_128003624.23-P1P2_01,0.6134337684034876,0.13395868,110.0,2546.0
HSPA5_HSPA5_+_128003624.23-P1P2_04,0.5966488781505812,0.15798,141.0,2577.0
HSPA5_HSPA5_+_128003624.23-P1P2_06,0.20443702784312562,0.29020342,230.0,2666.0
HSPA5_HSPA5_+_128003624.23-P1P2_08,0.6168278035139663,0.14018302,167.0,2603.0
HSPA9_HSPA9_-_137911079.23-P1P2_00,0.608299156714737,0.11513619,87.0,2523.0
HSPA9_HSPA9_-_137911079.23-P1P2_02,0.263000529865687,0.20349874,88.0,2524.0
HSPA9_HSPA9_-_137911079.23-P1P2_04,0.09129786103640446,0.3941028,172.0,2608.0
HSPA9_HSPA9_-_137911079.23-P1P2_07,0.582505816789178,0.15730374,112.0,2548.0
HSPA9_HSPA9_-_137911079.23-P1P2_08,0.1875947476170764,0.22245617,78.0,2514.0
HSPE1_HSPE1_+_198365089.23-P1P2_00,0.24362673959887413,0.14377458,198.0,2634.0
HSPE1_HSPE1_+_198365089.23-P1P2_01,0.2102543506216889,0.19683734,255.0,2691.0
HSPE1_HSPE1_+_198365089.23-P1P2_02,0.11938609482711962,0.18733175,207.0,2643.0
